"Age","BusinessTravel","Department","DistanceFromHome","Education","EnvironmentSatisfaction","Gender","JobInvolvement","JobLevel","JobRotation","FeedbackFromManager","Mentoring","JobRole","MonthlyIncome","MonthlyRate","NumCompaniesWorked","OverTime","PercentSalaryHike","RelationshipSatisfaction","StockOptionLevel","TotalWorkingYears","Training","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager","Performance"
28,"Travel_Rarely","Research & Development",8,1,3,"Male",1,2,1,"L","N","Manufacturing Director",6549,3173,3,"No",14,2,2,8,"N",2,8,6,1,7,39
35,"Travel_Frequently","Research & Development",2,4,3,"Male",3,2,2,"H","N","Research and Design Specialists",4249,2690,7,"Yes",11,2,0,9,"Y",3,9,6,1,1,50
35,"Travel_Rarely","Research & Development",10,4,3,"Female",3,3,1,"H","N","Customercare Representative",10388,6975,4,"Yes",11,3,1,16,"N",2,16,10,10,1,39
45,"Travel_Rarely","Sales",8,3,4,"Female",3,2,1,"L","N","Sales Executive",4850,23333,1,"No",15,3,0,8,"N",3,5,3,0,1,20
25,"Travel_Rarely","Finance",8,3,1,"Male",2,3,1,"L","Y","Accountant",9830,10813,7,"Yes",16,4,1,9,"N",2,8,4,2,5,58
32,"Non-Travel","Research & Development",8,4,3,"Female",3,2,4,"L","Y","Customercare Representative",6667,16542,4,"No",18,2,1,9,"Y",3,5,1,1,2,67
34,"Travel_Rarely","Sales",1,3,3,"Male",3,3,4,"L","Y","Sales Executive",9713,24444,3,"Yes",13,4,3,9,"Y",3,5,3,1,0,63
28,"Travel_Frequently","Research & Development",18,3,3,"Male",2,1,4,"H","Y","Research and Design Specialists",2703,22088,8,"Yes",14,4,1,3,"Y",3,3,1,0,2,67
26,"Travel_Frequently","Research & Development",21,2,1,"Male",3,2,2,"H","N","Customercare Representative",4741,22722,1,"Yes",13,3,1,5,"Y",3,5,3,3,3,66
40,"Travel_Frequently","Research & Development",18,2,3,"Female",2,2,2,"L","Y","Research and Design Specialists",4422,21203,7,"Yes",13,4,1,16,"Y",1,1,1,0,0,59
38,"Travel_Frequently","Research & Development",18,3,4,"Female",2,2,1,"L","Y","Research and Design Specialists",2133,18115,7,"Yes",16,3,1,20,"Y",3,20,11,0,7,55
58,"Travel_Rarely","Sales",16,3,4,"Female",3,4,2,"L","N","Manager",17875,11761,7,"Yes",13,3,1,29,"N",2,1,0,0,0,46
36,"Travel_Rarely","Finance",1,3,1,"Male",2,2,2,"L","Y","Accountant",9318,10250,2,"No",19,2,0,7,"N",3,8,6,3,5,64
35,"Travel_Rarely","Sales",3,3,4,"Male",3,3,1,"L","N","Sales Executive",9582,10333,3,"Yes",22,1,0,9,"N",3,8,7,4,7,39
55,"Travel_Rarely","Research & Development",13,3,4,"Female",3,4,2,"H","N","Manager",14756,19730,2,"Yes",14,3,3,21,"Y",3,5,0,0,2,63
60,"Travel_Rarely","Research & Development",25,4,3,"Male",1,3,2,"L","Y","Customercare Representative",10883,20467,7,"No",20,3,1,19,"Y",4,1,0,0,0,59
35,"Non-Travel","Production",17,3,3,"Male",2,1,2,"H","N","Machinists ",1281,16900,6,"No",18,3,2,1,"Y",3,1,0,0,0,73
33,"Travel_Frequently","Sales",6,3,2,"Male",2,2,4,"H","N","Sales Executive",4682,4317,3,"No",14,3,0,9,"Y",2,7,7,0,1,67
34,"Travel_Frequently","Research & Development",5,4,4,"Male",2,2,2,"L","N","Customercare Representative",5063,15332,9,"No",14,2,1,8,"Y",2,8,2,7,7,52
35,"Travel_Frequently","Research & Development",17,4,4,"Female",3,1,1,"H","N","Research and Design Specialists",2022,16612,4,"Yes",19,1,1,10,"N",2,10,2,7,8,27
25,"Travel_Frequently","Finance",1,3,2,"Female",3,2,3,"L","N","Accountant",8832,9715,3,"No",20,2,0,8,"N",2,7,5,1,6,36
34,"Travel_Frequently","Human Resources",17,3,2,"Female",3,3,1,"L","N","Human Resources",9950,11533,9,"Yes",15,3,3,11,"N",3,3,2,0,2,16
40,"Travel_Frequently","Research & Development",5,4,4,"Male",3,1,2,"L","Y","Research and Design Specialists",3617,25063,8,"Yes",14,4,1,3,"Y",3,1,1,0,0,61
28,"Travel_Rarely","Sales",16,3,4,"Male",3,2,1,"L","Y","Sales Executive",8463,23490,2,"No",18,4,0,6,"Y",3,5,4,1,3,56
